# Artist paletteelo. Full tutorial: assets/palette_tutorial.md.
# Three parts: COLOR dictionary (this file's named sections), RAMP tables
# (RAMPS/*: 8 ramps x 4 shades each, composed from dictionary names as
# SECTION/name), and ANCHORS (which color pins tile shade 0 per sheet).
# Lines starting with # are comments. Ramps own every CGB color in the
# game -- there are no hidden hardcoded colors anymore.
COMMON
white: #ffffff
dogtongue_ribbon: #8b1b1b
boss_eyes_scepter: #8b1b1b
boss_eyes_scepter_glow: #f57137

COMBAT
numbers_icons: #755930
card_background: #dfbd8d
card_decor: #e3ae63
card_outline: #b09266
heart_fire_enemy_eyes: #c34e1b
slime_combat: #89cc5e
slime_outline_combat: #5c903a
boss_spider_bat_combat_body: #000000
boss_combat_body_light: #565656
spider_combat_knife_handle: #5a4a3d
spider_combat_knife_blade_dark: #565656
spider_combat_knife_blade_light: #8f8f8f
mimic_combat_body_light: #8d754a
mimic_combat_body_dark: #6f5a34
mimic_combat_mouth: #3f3017
goblin_combat_skin: #844f4f
goblin_combat_skin_dark_outlines: #4a2727
bat_combat_inner_wings: #3d3044
poison_icon: #7136c1
ice_icon_ring_jewel: #7ae3f3

TITLE
title_light: #c6baa4
title_medium: #8d754a
title_dark: #6f5a34
galliabelgica_blue: #003cf2
galliabelgica_red: #b84444

# RAMP tables: every CGB color in the game. One section per set, 8 ramps
# of 4 shades each (the hardware limit). Each shade is a SECTION/name
# reference into the dictionary above -- never a raw hex here. Cross-set
# references are fine (e.g. FOREST gold uses CASTLE/gold).
RAMPS/BASE
gray: COMMON/white, COMMON/silver, COMMON/ash, FOREST/void_holes
fire: GAMEPLAY/fire_pale, GAMEPLAY/fire_light, GAMEPLAY/fire_mid, GAMEPLAY/fire_deep
iron_ice: GAMEPLAY/iron_pale, GAMEPLAY/iron_light, GAMEPLAY/iron_mid, GAMEPLAY/iron_deep
slime: COMMON/white, COMBAT/slime_combat, COMBAT/slime_outline_combat, FOREST/void_holes
poison: GAMEPLAY/mauve_pale, GAMEPLAY/mauve_light, GAMEPLAY/mauve_mid, GAMEPLAY/mauve_deep
wood: COMMON/parchment, GAMEPLAY/wood_light, GAMEPLAY/wood_mid, GAMEPLAY/wood_deep
gold: GAMEPLAY/gold_pale, CASTLE/gold, GAMEPLAY/gold_mid, GAMEPLAY/gold_shadow
dim: COMMON/gray_light, COMMON/gray_mid, COMMON/gray_dark, COMMON/gray_deep

RAMPS/FOREST
gray: COMMON/white, COMMON/silver, COMMON/ash, FOREST/void_holes
fire: GAMEPLAY/fire_pale, GAMEPLAY/fire_light, GAMEPLAY/fire_mid, GAMEPLAY/fire_deep
iron_ice: GAMEPLAY/iron_pale, GAMEPLAY/iron_light, GAMEPLAY/iron_mid, GAMEPLAY/iron_deep
field: FOREST/grass, FOREST/tree_leaves_terrain_outline_big_grass, FOREST/dark_tree_leaves, FOREST/void_holes
poison: GAMEPLAY/mauve_pale, GAMEPLAY/mauve_light, GAMEPLAY/mauve_mid, GAMEPLAY/mauve_deep
wood: FOREST/grass, GAMEPLAY/wood_light, GAMEPLAY/wood_mid, GAMEPLAY/wood_deep
gold: GAMEPLAY/gold_pale, CASTLE/gold, GAMEPLAY/gold_mid, GAMEPLAY/gold_shadow
dim: COMMON/gray_light, COMMON/gray_mid, COMMON/gray_dark, FOREST/rocks_outline

RAMPS/DESOLATE
gray: COMMON/white, COMMON/silver, COMMON/ash, FOREST/void_holes
campfire: DESOLATE/ground, DESOLATE/flame_light, DESOLATE/flame_mid, DESOLATE/flame_deep
iron_ice: DESOLATE/ground, GAMEPLAY/iron_light, GAMEPLAY/iron_mid, GAMEPLAY/iron_deep
flora: DESOLATE/ground, DESOLATE/flora_mid, DESOLATE/terrain_side, DESOLATE/tree_item_outlines_cracks
poison: DESOLATE/ground, GAMEPLAY/mauve_light, GAMEPLAY/mauve_mid, GAMEPLAY/mauve_deep
deadwood: DESOLATE/ground, CASTLE/wood_light, CASTLE/wood_dark, DESOLATE/tree_item_outlines_cracks
gold: DESOLATE/ground, CASTLE/gold, CASTLE/wood_light, DESOLATE/gold_shadow
slate_rock: DESOLATE/ground, DESOLATE/rocks_stone_shadow, DESOLATE/terrain_side, DESOLATE/tree_item_outlines_cracks

RAMPS/CASTLE
stone: CASTLE/ground, CASTLE/stone_mid, CASTLE/wall_light, CASTLE/window_frame
curtain: CASTLE/ground, CASTLE/curtain_light, CASTLE/curtain_dark, CASTLE/curtain_deep
iron: CASTLE/ground, CASTLE/steel_light, CASTLE/steel_mid, CASTLE/steel_deep
moss_green: CASTLE/ground, CASTLE/moss_light, CASTLE/moss_mid, CASTLE/moss_deep
poison: CASTLE/ground, GAMEPLAY/mauve_light, GAMEPLAY/mauve_mid, GAMEPLAY/mauve_deep
wood_furn: CASTLE/ground, CASTLE/timber_light, CASTLE/wood_dark, CASTLE/timber_deep
gold: CASTLE/ground, CASTLE/gold, CASTLE/gold_mid, CASTLE/gold_shadow
dim_shadow: CASTLE/ground, CASTLE/wall_light, CASTLE/wall_dark, CASTLE/shade_deep

RAMPS/VILLAGE
gray: TOWN/ground, TOWN/stone_light, TOWN/stone_mid, TOWN/stone_deep
fire: TOWN/ground, TOWN/ember_light, TOWN/ember_mid, TOWN/ember_deep
iron: TOWN/ground, TOWN/steel_light, TOWN/steel_mid, TOWN/steel_deep
dirt_floor: TOWN/ground, TOWN/dirt_light, TOWN/dirt_mid, TOWN/dirt_deep
mauve: TOWN/ground, GAMEPLAY/mauve_light, GAMEPLAY/mauve_mid, GAMEPLAY/mauve_deep
wood: TOWN/ground, TOWN/barrel_wood_fence, TOWN/wood_outlines, TOWN/wood_deep
cream: TOWN/ground, TOWN/house_wall, TOWN/house_roof_shade1, TOWN/wood_outlines
dim: TOWN/ground, TOWN/shade_light, TOWN/shade_mid, TOWN/shade_deep

RAMPS/OBJ
grey: COMMON/white, COMMON/silver, COMMON/ash, FOREST/void_holes
orange: COMMON/white, SPRITES/boss_eyes_scepter_glow, COMBAT/heart_fire_enemy_eyes, SPRITES/boss_eyes_scepter
brown: COMMON/white, SPRITES/wood_dog, SPRITES/chest_outline, SPRITES/npc
green: COMMON/white, SPRITES/slime_highlight, SPRITES/slime_light, SPRITES/slime_dark

# ANCHORS: which color pins tile shade 0 per sheet (the sheet background
# must land on shade 0: transparent for sprites, seamless ground for tiles).
# Values are SECTION/name references, except npc_tiles: that sheet uses a
# compositor chroma-key yellow, so it pins a raw hex instead.
ANCHORS
forest: FOREST/grass
desolate_landscape: DESOLATE/ground
castle: CASTLE/ground
village: TOWN/ground
title: COMMON/white
npc_tiles: #f1eb03
enemy_ow: DESOLATE/ground
